file,channel,window_index,activity,mobility,complexity,pulse_width,amplitude_variation,mean_instantaneous_frequency,std_instantaneous_frequency
81739927_0008_processed_ppg_signal.npy,0,250,0.00609465436529713,0.24775978572169285,1.3860302738122985,312,0.16047897556348703,-0.0018251366316506372,0.43315279200328816
81739927_0008_processed_ppg_signal.npy,0,264,0.006898217024760216,0.2502680342611783,1.4717125350150653,312,0.16909388602297523,-0.0009956702712946221,0.4373762838904885
81739927_0008_processed_ppg_signal.npy,0,265,0.00692948781705338,0.24953068887838742,1.4707530687508183,312,0.16964971390710873,0.0007990722317984167,0.43240127425536723
81739927_0008_processed_ppg_signal.npy,0,266,0.00672576327378752,0.24667235942707888,1.4860836630592746,312,0.16819468968765913,-0.0015334134005878686,0.4297637430953596
81739927_0008_processed_ppg_signal.npy,0,267,0.006775553169440915,0.2489309838409633,1.4612172509366825,312,0.16805725127474416,-0.0026382993151743447,0.45181737914078873
81739927_0008_processed_ppg_signal.npy,0,268,0.0059941586285429845,0.26627203686215156,1.3381776939984815,310,0.1570190303400047,0.0019091508682378753,0.4993312211436178
81739927_0008_processed_ppg_signal.npy,0,272,0.006690677092637786,0.2781744579456826,1.2568322095139988,312,0.16749185208218362,-0.0015433188188156758,0.4431020741436087
81739927_0008_processed_ppg_signal.npy,0,273,0.007287546082304926,0.2657828582166686,1.3111571139566762,312,0.17433782780495227,-0.0014071141603015354,0.43052635765891006
81739927_0008_processed_ppg_signal.npy,0,274,0.0068204164910029294,0.26149497151657547,1.3271265956899596,312,0.1691674706373091,-0.002451640407921237,0.43150796623503185
81739927_0008_processed_ppg_signal.npy,0,275,0.006104979993652332,0.25918599738116266,1.3113411526752787,312,0.15873216085475553,0.0022293462754048587,0.3813055885243148
81739927_0008_processed_ppg_signal.npy,0,330,0.006860650694209323,0.24844567264851786,1.543809971115347,312,0.16993831748145316,0.00012062271441765421,0.4390963205380786
81739927_0008_processed_ppg_signal.npy,0,331,0.0066776178497220525,0.24368866465086525,1.5664696450668598,312,0.16646819782996444,-0.0020178415438164496,0.44578193901618407
81739927_0008_processed_ppg_signal.npy,0,2335,0.006298541379860873,0.1750639557351082,2.190570631977802,312,0.15870513281313697,-0.0012895732080883565,0.2542919642342205
81739927_0008_processed_ppg_signal.npy,0,2336,0.009864555139154867,0.17761635837582185,2.132987593992851,312,0.20285569426316433,0.0004884743218878949,0.4012069337252307
81739927_0008_processed_ppg_signal.npy,0,2337,0.009744517691394426,0.17618703424134222,2.154524507725732,312,0.2014112100254541,9.669422945138936e-05,0.39723675298348515
81739927_0008_processed_ppg_signal.npy,0,2338,0.009689881887791492,0.17515498570590868,2.172943961102749,312,0.2003451481772405,0.00013327530988870086,0.3942014127973704
81739927_0008_processed_ppg_signal.npy,0,2339,0.009466317544555649,0.17443941699497856,2.181794041434378,310,0.1992116355161379,-0.00011252424424072916,0.4025019721268376
81739927_0008_processed_ppg_signal.npy,0,2699,0.009565216907657803,0.22483781990379886,1.9629677905572889,312,0.2009928776519462,-0.00044340676697535,0.5433418128425495
81739927_0008_processed_ppg_signal.npy,0,2700,0.009548197523955998,0.22372201535270977,1.9762031349171147,312,0.19901362155576047,0.00043431329129278734,0.5472910587907457
81739927_0008_processed_ppg_signal.npy,0,2701,0.009502042174556703,0.22333474987962862,1.9844811492595642,312,0.19845646743996134,-3.1361013098530146e-06,0.5474856745132207
81739927_0008_processed_ppg_signal.npy,0,2702,0.009279620370701845,0.22264840446817072,1.9992141077430143,312,0.19861210494882042,-0.0006911125177746168,0.5451639703381902
81739927_0008_processed_ppg_signal.npy,0,2703,0.007205939732260089,0.2421099542405618,1.920160462878318,307,0.17125841272611653,-0.014752167105344539,0.6991078696400094
81739927_0008_processed_ppg_signal.npy,0,2705,0.005991553229965386,0.21265620117986164,1.9256512741861331,312,0.15959122559073535,-0.0012686503645753372,0.44371230843961584
81739927_0008_processed_ppg_signal.npy,0,2706,0.006388679107478228,0.2057279520743141,1.9867050686057135,312,0.16235654744798314,-0.0005357431907359648,0.4457606447217597
81739927_0008_processed_ppg_signal.npy,0,2707,0.006521973108427628,0.20203605146276168,2.0240785157575742,312,0.16480610101704588,-0.00022556754976314883,0.4419939885050359
81739927_0008_processed_ppg_signal.npy,0,2723,0.006731776509314735,0.14951266061105142,2.3767837116182164,312,0.16664603802663117,0.0002882778759778614,0.25467175830585176
